,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,Medu,Fedu,0.5822784810126582,0.4962025316455696,0.42025316455696204,0.7217391304347827,1.4545252883762203,0.13132510815574433,1.8105221518987347,0.748083242059146
1,Fedu,Medu,0.4962025316455696,0.5822784810126582,0.42025316455696204,0.8469387755102041,1.45452528837622,0.13132510815574433,2.7291139240506337,0.6202700248229099
2,Medu,famrel,0.5822784810126582,0.7620253164556962,0.4481012658227848,0.7695652173913043,1.0098945543839377,0.004390322063771879,1.0327203248149035,0.023454887861667773
3,famrel,Medu,0.7620253164556962,0.5822784810126582,0.4481012658227848,0.5880398671096346,1.0098945543839377,0.004390322063771879,1.0139853001224992,0.04117081379973598
4,Medu,freetime,0.5822784810126582,0.3924050632911392,0.23544303797468355,0.4043478260869565,1.0304347826086957,0.006954013779843005,1.0200498937448028,0.07070707070707102
5,freetime,Medu,0.3924050632911392,0.5822784810126582,0.23544303797468355,0.6000000000000001,1.030434782608696,0.006954013779843005,1.0443037974683547,0.04861111111111133
6,Medu,goout,0.5822784810126582,0.3518987341772152,0.21265822784810126,0.3652173913043478,1.0378479824835785,0.007755167441115207,1.0209814461591815,0.08730158730158732
7,goout,Medu,0.3518987341772152,0.5822784810126582,0.21265822784810126,0.60431654676259,1.0378479824835785,0.007755167441115207,1.0556962025316456,0.0562686011904762
8,Medu,health,0.5822784810126582,0.5367088607594936,0.3139240506329114,0.5391304347826087,1.0045118949958982,0.0014100304438391387,1.0052543587294005,0.010752688172043088
9,health,Medu,0.5367088607594936,0.5822784810126582,0.3139240506329114,0.5849056603773586,1.0045118949958984,0.0014100304438391387,1.0063291139240509,0.009695046712497867
10,Medu,G1,0.5822784810126582,0.41265822784810124,0.2708860759493671,0.4652173913043478,1.127367297946119,0.03060406986059927,1.098281362560461,0.2704616256018126
11,G1,Medu,0.41265822784810124,0.5822784810126582,0.2708860759493671,0.656441717791411,1.127367297946119,0.03060406986059927,1.2158679927667269,0.19235417338059946
12,Medu,G2,0.5822784810126582,0.6303797468354431,0.39746835443037976,0.682608695652174,1.0828531517373843,0.030411792981893948,1.1645569620253167,0.183169272341247
13,G2,Medu,0.6303797468354431,0.5822784810126582,0.39746835443037976,0.6305220883534136,1.0828531517373843,0.030411792981893948,1.130572372041827,0.20700636942675177
14,Medu,G3,0.5822784810126582,0.529113924050633,0.3367088607594937,0.5782608695652174,1.092885375494071,0.02861720878064411,1.1165339945191177,0.20346320346320335
15,G3,Medu,0.529113924050633,0.5822784810126582,0.3367088607594937,0.6363636363636364,1.092885375494071,0.02861720878064411,1.1487341772151898,0.1804915514592933
16,Fedu,famrel,0.4962025316455696,0.7620253164556962,0.38734177215189874,0.7806122448979592,1.0243914841684183,0.009222880948565992,1.084721813364734,0.047262456071205994
17,famrel,Fedu,0.7620253164556962,0.4962025316455696,0.38734177215189874,0.5083056478405316,1.0243914841684183,0.009222880948565992,1.0246151214505645,0.1000556250869148
18,Fedu,health,0.4962025316455696,0.5367088607594936,0.2683544303797468,0.5408163265306123,1.0076530612244898,0.002038134914276568,1.008945147679325,0.015075376884422185
19,health,Fedu,0.5367088607594936,0.4962025316455696,0.2683544303797468,0.5,1.0076530612244898,0.002038134914276568,1.0075949367088608,0.016393442622950897
20,G1,Fedu,0.41265822784810124,0.4962025316455696,0.22025316455696203,0.5337423312883436,1.0756541880555905,0.015491107194359893,1.0805129913391074,0.11974831549742382
21,Fedu,G1,0.4962025316455696,0.41265822784810124,0.22025316455696203,0.4438775510204082,1.0756541880555905,0.015491107194359893,1.0561374985483687,0.13960607635880565
22,Fedu,G2,0.4962025316455696,0.6303797468354431,0.3493670886075949,0.7040816326530612,1.116916646176543,0.03657106232975482,1.2490615451767786,0.20777802053746983
23,G2,Fedu,0.6303797468354431,0.4962025316455696,0.3493670886075949,0.5542168674698794,1.1169166461765427,0.03657106232975482,1.1301402668491274,0.28320428826682537
24,Fedu,G3,0.4962025316455696,0.529113924050633,0.28860759493670884,0.5816326530612245,1.0992578849721706,0.02605992629386311,1.1255325717814137,0.17922948073701808
25,G3,Fedu,0.529113924050633,0.4962025316455696,0.28860759493670884,0.5454545454545454,1.0992578849721706,0.02605992629386311,1.1083544303797468,0.19175627240143334
26,famrel,freetime,0.7620253164556962,0.3924050632911392,0.3189873417721519,0.4186046511627907,1.0667666916729184,0.01996474923890401,1.0450632911392406,0.26300236406619365
27,freetime,famrel,0.3924050632911392,0.7620253164556962,0.3189873417721519,0.8129032258064516,1.0667666916729182,0.01996474923890401,1.2719336534264514,0.10300925925925922
28,famrel,goout,0.7620253164556962,0.3518987341772152,0.27848101265822783,0.3654485049833887,1.0385047443772557,0.010325268386476516,1.0213533037311948,0.15580270793036732
29,goout,famrel,0.3518987341772152,0.7620253164556962,0.27848101265822783,0.7913669064748201,1.0385047443772557,0.010325268386476516,1.1406372762985597,0.057208806818181766
30,famrel,health,0.7620253164556962,0.5367088607594936,0.43291139240506327,0.5681063122923589,1.0584999686579328,0.023925652940233966,1.0726971762414803,0.2322383974119699
31,health,famrel,0.5367088607594936,0.7620253164556962,0.43291139240506327,0.8066037735849056,1.0584999686579328,0.023925652940233966,1.2305032417412782,0.11929185440833429
32,G1,famrel,0.41265822784810124,0.7620253164556962,0.3189873417721519,0.7730061349693251,1.0144100442288486,0.004531325108155737,1.0483749572357168,0.024185823754789237
33,famrel,G1,0.7620253164556962,0.41265822784810124,0.3189873417721519,0.4186046511627907,1.0144100442288488,0.004531325108155737,1.010227848101266,0.059692671394798946
